authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Clapham","M. Clapham",,39129,"T. D. A.",Cockerell,,,,1908,"Two fossil Diptera","The Canadian Entomologist",,40,6,173,175,"journal article","stated with evidence",English,,,,,"2012-01-05 14:21:29","2012-01-04 21:21:29"
"M. Clapham","J. Karr",,42165,"T. D. A.",Cockerell,,,,1908,"Another Fossil Nemestrinid Fly","Transactions of the American Entomological Society",,34,,254,,"journal article","stated with evidence",English,,,,,"2012-06-29 09:06:55","2012-06-28 18:06:55"
"M. Clapham","J. Karr","M. Clapham",42166,"T. D. A.",Cockerell,,,,1908,"Descriptions of Tertiary Insects, Part III: Fossil Diptera of the Family Nemestrinidae","American Journal of Science, Series 4",,25,148,309,312,"journal article","stated with evidence",English,,,,,"2012-06-29 09:17:03","2013-03-07 19:20:39"
"M. Clapham","J. Karr",,42167,"T. D. A.",Cockerell,,,,1908,"Descriptions and Records of Bees. XIX","The Annals and Magazine of Natural History, Eighth Series",,1,,337,344,"journal article","stated with evidence",English,,,,,"2012-06-29 09:48:53","2012-06-28 18:48:53"
"M. Clapham","J. Karr","M. Clapham",42244,"T. D. A.",Cockerell,,,,1908,"Descriptions of Tertiary Insects","American Journal of Science, Series 4",,25,145,51,52,"journal article","stated with evidence",English,,,,,"2012-07-08 13:43:54","2013-03-07 19:12:08"
"M. Clapham","M. Clapham",,44349,"T. D. A.",Cockerell,,,,1908,"Fossil Chrysopidae","The Canadian Entomologist",,40,,90,91,"journal article","stated with evidence",English,,,,,"2013-01-19 11:12:16","2013-01-18 18:12:16"
"M. Clapham","M. Clapham","M. Clapham",45167,"T. D. A.",Cockerell,,,,1908,"Descriptions of Tertiary insects, part II","American Journal of Science, Series 4",,25,,227,232,"journal article","stated with evidence",English,,,,,"2013-02-25 16:01:24","2013-03-07 19:21:30"
"M. Clapham","J. Karr",,46987,"T. D. A.",Cockerell,,,,1908,"Descriptions of Tertiary insects, part IV","American Journal of Science, Series 4",,26,151,69,75,"journal article","stated with evidence",English,,,,,"2013-05-31 02:25:41","2013-05-30 11:25:41"
"M. Clapham","M. Clapham",,48775,"T. D. A.",Cockerell,,,,1908,"A fossil leaf-cutting bee","The Canadian Entomologist",,40,,31,32,"journal article","stated with evidence",English,,,,,"2013-11-05 22:20:04","2013-11-05 22:20:04"
"M. Clapham","M. Clapham",,49105,"T. D. A.",Cockerell,,,,1908,"Fossil Aphididae from Florissant, Colorado",Nature,,78,,318,319,"journal article","stated with evidence",English,,,,,"2013-11-24 21:38:19","2013-11-24 21:38:19"
"M. Clapham","M. Clapham",,52840,"T. D. A.",Cockerell,,,,1908,"Fossil Cercopidae (Homoptera)","Bulletin of the Wisconsin Natural History Society",,6,,35,38,"journal article","stated with evidence",English,,,,,"2014-09-20 16:02:08","2014-09-20 16:02:08"
